Price,TickNum
1.01,1
1.02,2
1.03,3
1.04,4
1.05,5
1.06,6
1.07,7
1.08,8
1.09,9
1.1,10
1.11,11
1.12,12
1.13,13
1.14,14
1.15,15
1.16,16
1.17,17
1.18,18
1.19,19
1.2,20
1.21,21
1.22,22
1.23,23
1.24,24
1.25,25
1.26,26
1.27,27
1.28,28
1.29,29
1.3,30
1.31,31
1.32,32
1.33,33
1.34,34
1.35,35
1.36,36
1.37,37
1.38,38
1.39,39
1.4,40
1.41,41
1.42,42
1.43,43
1.44,44
1.45,45
1.46,46
1.47,47
1.48,48
1.49,49
1.5,50
1.51,51
1.52,52
1.53,53
1.54,54
1.55,55
1.56,56
1.57,57
1.58,58
1.59,59
1.6,60
1.61,61
1.62,62
1.63,63
1.64,64
1.65,65
1.66,66
1.67,67
1.68,68
1.69,69
1.7,70
1.71,71
1.72,72
1.73,73
1.74,74
1.75,75
1.76,76
1.77,77
1.78,78
1.79,79
1.8,80
1.81,81
1.82,82
1.83,83
1.84,84
1.85,85
1.86,86
1.87,87
1.88,88
1.89,89
1.9,90
1.91,91
1.92,92
1.93,93
1.94,94
1.95,95
1.96,96
1.97,97
1.98,98
1.99,99
2,100
2.02,101
2.04,102
2.06,103
2.08,104
2.1,105
2.12,106
2.14,107
2.16,108
2.18,109
2.2,110
2.22,111
2.24,112
2.26,113
2.28,114
2.3,115
2.32,116
2.34,117
2.36,118
2.38,119
2.4,120
2.42,121
2.44,122
2.46,123
2.48,124
2.5,125
2.52,126
2.54,127
2.56,128
2.58,129
2.6,130
2.62,131
2.64,132
2.66,133
2.68,134
2.7,135
2.72,136
2.74,137
2.76,138
2.78,139
2.8,140
2.82,141
2.84,142
2.86,143
2.88,144
2.9,145
2.92,146
2.94,147
2.96,148
2.98,149
3,150
3.05,151
3.1,152
3.15,153
3.2,154
3.25,155
3.3,156
3.35,157
3.4,158
3.45,159
3.5,160
3.55,161
3.6,162
3.65,163
3.7,164
3.75,165
3.8,166
3.85,167
3.9,168
3.95,169
4,170
4.1,171
4.2,172
4.3,173
4.4,174
4.5,175
4.6,176
4.7,177
4.8,178
4.9,179
5,180
5.1,181
5.2,182
5.3,183
5.4,184
5.5,185
5.6,186
5.7,187
5.8,188
5.9,189
6,190
6.2,191
6.4,192
6.6,193
6.8,194
7,195
7.2,196
7.4,197
7.6,198
7.8,199
8,200
8.2,201
8.4,202
8.6,203
8.8,204
9,205
9.2,206
9.4,207
9.6,208
9.8,209
10,210
10.5,211
11,212
11.5,213
12,214
12.5,215
13,216
13.5,217
14,218
14.5,219
15,220
15.5,221
16,222
16.5,223
17,224
17.5,225
18,226
18.5,227
19,228
19.5,229
20,230
21,231
22,232
23,233
24,234
25,235
26,236
27,237
28,238
29,239
30,240
32,241
34,242
36,243
38,244
40,245
42,246
44,247
46,248
48,249
50,250
55,251
60,252
65,253
70,254
75,255
80,256
85,257
90,258
95,259
100,260
110,261
120,262
130,263
140,264
150,265
160,266
170,267
180,268
190,269
200,270
210,271
220,272
230,273
240,274
250,275
260,276
270,277
280,278
290,279
300,280
310,281
320,282
330,283
340,284
350,285
360,286
370,287
380,288
390,289
400,290
410,291
420,292
430,293
440,294
450,295
460,296
470,297
480,298
490,299
500,300
510,301
520,302
530,303
540,304
550,305
560,306
570,307
580,308
590,309
600,310
610,311
620,312
630,313
640,314
650,315
660,316
670,317
680,318
690,319
700,320
710,321
720,322
730,323
740,324
750,325
760,326
770,327
780,328
790,329
800,330
810,331
820,332
830,333
840,334
850,335
860,336
870,337
880,338
890,339
900,340
910,341
920,342
930,343
940,344
950,345
960,346
970,347
980,348
990,349
1000,350
